Fuld adresse,Materieltype,Antal,Tømningsdato
Langesgade 4, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Øster Sundby Vej 12 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Solvangsvej 20 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Solvangsvej 4, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Østerbro 105, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Kærvang 3 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Kærvang 14 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sønderbro 29 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sønderbro 21 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Færøgade 16 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sjællandsgade 13, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Teglvænget 1 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Morsøgade, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Teglvænget 15 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Morsøgade 3 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Samsøgade 17, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Samsøgade 17, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Bogøgade 9 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Samsøgade 33 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sjællandsgade 20, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sejrøgade 13 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Strynøgade 7, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sejrøgade 3 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Lyøgade 14, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Hesseløgade 8, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Bjørnøgade 21, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Bjørnøgade 7, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Drejøgade 10, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Willy Brandts Vej 31, 9220 Aalborg Øst,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Willy Brandts Vej 31, 9220 Aalborg Øst,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Willy Brandts Vej 31, 9220 Aalborg Øst,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Willy Brandts Vej 31, 9220 Aalborg Øst,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Hjortøgade 8, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
